
%
% subject = 'ak'; condition = 'bright'; version='physical';
% time = '04-Apr-2022 10:33:53';
%
% trial, refk, refr, refi, testrk, testr, testik, testi, refleft, choosetest, stimt, rt, totaltime
%

185, 2, 0.3000, 192.0000, 11, 0.4408,  8, 223.9488, 0, 1,  0.100,  0.183,  455.888
186, 3, 0.4500, 147.0000,  2, 0.3308,  2, 108.0494, 1, 0,  0.048,  0.454,  457.408
187, 2, 0.3000, 192.0000,  3, 0.2381,  9, 241.8647, 1, 1,  0.180,  0.399,  459.003
188, 2, 0.3000, 192.0000,  4, 0.2572,  9, 241.8647, 1, 1,  0.030,  1.977,  462.035
189, 2, 0.3000, 192.0000, 11, 0.4408,  9, 241.8647, 1, 1,  0.294,  0.874,  464.228
190, 3, 0.4500, 147.0000,  8, 0.5249,  7, 158.7600, 0, 1,  0.410,  0.160,  465.815
191, 1, 0.1500, 251.0000,  3, 0.1191,  4, 215.1920, 0, 0,  1.827,  0.162,  468.816
192, 3, 0.4500, 147.0000,  8, 0.5249, 11, 215.9912, 1, 1,  1.625,  0.117,  471.571
193, 2, 0.3000, 192.0000,  6, 0.3000,  7, 207.3600, 0, 1,  0.407,  0.244,  473.248
194, 1, 0.1500, 251.0000, 10, 0.2041,  9, 316.1877, 0, 1,  0.639,  0.299,  475.203
195, 2, 0.3000, 192.0000, 10, 0.4081,  9, 241.8647, 1, 1,  1.037,  0.166,  477.420
196, 2, 0.3000, 192.0000,  2, 0.2205,  3, 152.4158, 0, 0,  0.070,  0.346,  478.851
197, 1, 0.1500, 251.0000,  4, 0.1286,  6, 251.0000, 0, 1,  0.630,  0.346,  480.851
198, 2, 0.3000, 192.0000,  3, 0.2381,  4, 164.6091, 0, 0,  0.683,  0.197,  482.753
199, 2, 0.3000, 192.0000,  9, 0.3779,  9, 241.8647, 0, 1,  0.231,  0.101,  484.110
200, 2, 0.3000, 192.0000,  3, 0.2381, 11, 282.1110, 0, 1,  0.177,  0.352,  485.660
201, 3, 0.4500, 147.0000,  1, 0.3063,  8, 171.4608, 0, 1,  0.131,  0.437,  487.244
202, 1, 0.1500, 251.0000,  4, 0.1286,  4, 215.1920, 1, 0,  1.497,  2.607,  492.363
203, 3, 0.4500, 147.0000,  7, 0.4860,  9, 185.1777, 1, 1,  1.580,  0.310,  495.266
204, 1, 0.1500, 251.0000,  5, 0.1389,  3, 199.2519, 1, 0,  1.469,  0.200,  497.955
205, 2, 0.3000, 192.0000,  7, 0.3240,  7, 207.3600, 0, 1,  0.780,  0.391,  500.150
206, 2, 0.3000, 192.0000,  3, 0.2381, 10, 261.2139, 0, 1,  0.033,  0.203,  501.408
207, 1, 0.1500, 251.0000,  3, 0.1191,  8, 292.7664, 0, 0,  0.731,  0.483,  503.638
208, 1, 0.1500, 251.0000,  6, 0.1500,  5, 232.4074, 0, 0,  0.050,  0.322,  505.027
209, 2, 0.3000, 192.0000,  9, 0.3779,  1, 130.6720, 0, 0,  0.965,  0.973,  507.982
210, 2, 0.3000, 192.0000,  1, 0.2042,  1, 130.6720, 0, 0,  0.399,  0.437,  509.843
211, 1, 0.1500, 251.0000,  9, 0.1890,  5, 232.4074, 0, 1,  0.648,  1.457,  512.962
212, 2, 0.3000, 192.0000,  8, 0.3499,  2, 141.1257, 0, 0,  0.628,  0.168,  514.774
213, 2, 0.3000, 192.0000,  7, 0.3240,  4, 164.6091, 1, 0,  0.062,  0.001,  515.858
214, 3, 0.4500, 147.0000,  3, 0.3572,  3, 116.6933, 1, 0,  0.183,  0.123,  517.179
215, 1, 0.1500, 251.0000,  5, 0.1389, 10, 341.4827, 1, 1,  1.209,  0.893,  520.299
216, 3, 0.4500, 147.0000,  2, 0.3308,  3, 116.6933, 1, 0,  1.239,  0.461,  523.017
217, 3, 0.4500, 147.0000,  1, 0.3063,  6, 147.0000, 1, 1,  0.072,  0.083,  524.190
218, 3, 0.4500, 147.0000, 11, 0.6612,  8, 171.4608, 0, 1,  0.251,  0.185,  525.641
219, 1, 0.1500, 251.0000,  2, 0.1103,  5, 232.4074, 0, 0,  2.050,  2.582,  531.287
220, 3, 0.4500, 147.0000,  4, 0.3858,  2, 108.0494, 1, 0,  1.697,  0.204,  534.210
221, 1, 0.1500, 251.0000,  9, 0.1890, 11, 368.8013, 0, 1,  0.980,  0.332,  536.543
